PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MAX,1981,31.37,35.51,39.9,43.3,44.55,45.49,33.22,30.62,32.23,32.04,29.77,28.01,45.49
T2M_MAX,1982,28.61,29.15,39.84,41.19,42.44,44,39.14,30.69,32.03,32.01,29.9,29.58,44
T2M_MAX,1983,30.63,34.62,38.79,44.12,43.9,44.6,37.6,32.01,30.96,30.32,26.46,28.06,44.6
T2M_MAX,1984,29.86,31.61,42.34,43.23,46,45.23,36.41,31.16,31.19,32.12,31.69,32.08,46
T2M_MAX,1985,31.17,37.3,40.11,43.12,45.23,42.94,37.52,30.99,32.19,31.89,27.88,28.69,45.23
T2M_MAX,1986,30.06,31.49,39.98,43.33,44.65,44.95,36.74,29.73,32.92,34.48,34.37,30.72,44.95
T2M_MAX,1987,30.77,33.48,39.43,44.05,42.34,45.04,37.08,37.05,33.23,33.08,33.22,31.17,45.04
T2M_MAX,1988,32.75,35.3,39.6,42.85,45.44,44.14,34.19,31.64,32.75,32.23,31.52,30.4,45.44
T2M_MAX,1989,33.36,36.34,38.55,42.48,46.2,43.12,35.75,34.71,32.22,33.09,32.98,29.81,46.2
T2M_MAX,1990,33.95,32.94,38.64,43.19,44.23,42.14,31.75,31.5,29.99,30.27,28.16,27.9,44.23
T2M_MAX,1991,32.75,35.72,41.19,43.76,45.21,45.79,39.32,30.36,31.72,32.99,30.9,30.14,45.79
T2M_MAX,1992,32.54,34.52,38.66,42.83,44.86,45.19,40.4,31.68,30.87,31.75,29.87,29.09,45.19
T2M_MAX,1993,31.12,35.66,38.26,43.71,45.95,45.33,35.58,31.77,30.4,31.73,29.34,28.58,45.95
T2M_MAX,1994,32.59,33.08,41.7,41.81,47.42,45.12,31.58,30.39,30.27,31.35,30.34,29.47,47.42
T2M_MAX,1995,28.05,34.23,38.59,42.94,45.14,45.61,39.92,31.58,31.77,32.82,30.34,30.17,45.61
T2M_MAX,1996,30.22,35.26,41.62,44.09,43.83,45.37,38.34,30.65,31.79,30.08,28.94,28.62,45.37
